,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
231026_at,0.344233849,4.680983837,2.121328582,0.041292236,0.600702814,-3.713643869,EFHC1
204045_at,-0.230313124,4.744184479,-2.121222991,0.041301738,0.600702814,-3.713813702,TCEAL1
240926_at,-0.240380281,2.821205193,-2.12080625,0.04133926,0.600702814,-3.714483921,LRCH3
219449_s_at,-0.450522359,5.671114996,-2.120705293,0.041348354,0.600702814,-3.714646269,TMEM70
213387_at,-0.322186872,5.332512592,-2.120426438,0.041373483,0.600702814,-3.715094666,ATAD2B
225803_at,0.335185832,2.868140459,2.120423698,0.04137373,0.600702814,-3.715099071,FBXO32
221227_x_at,-0.244402055,3.130865176,-2.120350309,0.041380346,0.600702814,-3.715217074,COQ3
220016_at,0.297720697,5.027014148,2.120217676,0.041392304,0.600702814,-3.715430326,AHNAK
1561615_s_at,-0.514993443,6.867347658,-2.120088517,0.041403953,0.600702814,-3.715637984,SLC8A1
212448_at,-0.334505054,4.570048527,-2.119956329,0.041415877,0.600702814,-3.715850501,NEDD4L
205737_at,-0.403797612,6.126032956,-2.119902906,0.041420697,0.600702814,-3.715936386,KCNQ2
218861_at,0.241216373,3.483109782,2.119685298,0.041440336,0.600702814,-3.716286207,RNF25
222552_at,-0.283397674,2.639942154,-2.11965674,0.041442914,0.600702814,-3.716332114,GOLT1B
218336_at,-0.277589239,7.150376703,-2.119561831,0.041451482,0.600702814,-3.716484677,PFDN2
206679_at,-0.416354163,6.469853838,-2.119396603,0.041466403,0.600702814,-3.716750262,APBA1
223735_at,-0.352688975,3.173448383,-2.119334562,0.041472007,0.600702814,-3.716849983,ARL6
219057_at,0.24988189,3.577424096,2.11896711,0.04150521,0.600702814,-3.717440557,RABEP2
204915_s_at,-0.39880477,4.127057276,-2.118750095,0.04152483,0.600702814,-3.717789312,SOX11
204066_s_at,-0.488026338,6.219691373,-2.118646025,0.041534242,0.600702814,-3.717956549,AGAP1
217680_x_at,0.175548176,4.13024506,2.118578291,0.041540369,0.600702814,-3.718065391,RPL10
217971_at,-0.445554234,2.392928724,-2.118478199,0.041549424,0.600702814,-3.718226226,LAMTOR3
229083_at,-0.254661725,3.724897305,-2.118449237,0.041552045,0.600702814,-3.718272764,HNRNPA0
